name,main_city,jurisdiction,population
Gobernador Virasoro,Gobernador Virasoro,Corrientes,35150
Miramar-El Marquesado,Miramar,Buenos Aires,35037
Victoria,Victoria,Entre Ríos,34965
Rivadavia,Rivadavia,Mendoza,34830
San José de Metán,San José de Metán,Salta,34601
Cruz del Eje,Cruz del Eje,Córdoba,34317
Salto,Salto,Buenos Aires,34034
Frías,Frías,Santiago del Estero,33564
General José de San Martín,General José de San Martín,Chaco,33225
Famaillá,Famaillá,Tucumán,33095
Lincoln,Lincoln,Buenos Aires,32773
Coronel Suárez ,Coronel Suárez ,Buenos Aires,32525
Caucete,Caucete,San Juan,32454
Cañada de Gómez,Cañada de Gómez,Santa Fe,31916
San Carlos de Bolívar,San Carlos de Bolívar,Buenos Aires,31618
Monteros,Monteros,Tucumán,31001
Charata,Charata,Chaco,30968
Villa Regina,Villa Regina,Río Negro,30491
Arrecifes,Arrecifes,Buenos Aires,30397
Saladillo,Saladillo,Buenos Aires,30378
Dolores,Dolores,Buenos Aires,30372
Apóstoles,Apóstoles,Misiones,30278
