name,main_city,jurisdiction,population,latitude,longitude,ba_distance,feb_precip_mm,feb_rainy_days_rate,feb_very_rainy_days_rate,feb_p5_temp_c,feb_p50_temp_c,feb_p95_temp_c,feb_avg_wind_speed_ms,feb_p95_wind_speed_ms,feb_windy_days_rate,feb_very_windy_days_rate,feb_wind_gust_days_rate
Gran Bahía Blanca,Bahía Blanca,Buenos Aires,323357,-38.7176522,-62.2654871,569.1575345302076,1.754725950537181,0.226690954916273,0.12213987893904814,5.534865256099512,15.103898050681137,25.801951303306392,3.9846255517309492,7.256892961391949,0.21338877023241984,0.01396362295610216,0.00044055087126438676
Gran Paraná,Paraná,Entre Ríos,302614,-31.7420505,-60.5321547,373.9149331282966,2.878028291613481,0.1739361650267482,0.14315118565019566,8.99027933057197,19.276091598703978,27.559521642856463,2.8264358815454598,5.068104583531553,0.028287158837898688,0.0,0.0
Formosa,Formosa,Formosa,260325,-26.1852983,-58.1744976,935.1321648127295,3.726541274803732,0.1966703718118744,0.17586231117688733,12.083129269539292,23.477963488336187,30.487820135861426,3.2161853790791413,5.89149317968231,0.07834902362969019,0.0012830768911098877,0.0
Gran San Fernando del Valle de Catamarca,San Fernando del Valle de Catamarca,Catamarca,230366,-28.4688806,-65.7790642,974.4248983741006,1.5376432021483617,0.11627838216952864,0.08444971186167768,6.812495292900139,16.9078651701727,24.462590341694533,1.310189732787651,2.4359497147872875,0.00018091939325057997,0.0,0.0
Gran San Luis,San Luis,San Luis,225536,-33.3020736,-66.3369577,744.2779953825237,1.5702660686882866,0.14869553522251847,0.10122459179925701,6.9192819168714905,17.594559638000774,27.582897126365836,3.155637257709413,6.305199231043356,0.12327431738312888,0.009674999149313822,0.00023556399387063322
La Rioja,La Rioja,La Rioja,208638,-29.4127411,-66.8558795,981.973795523545,0.9164259236454371,0.09880384726085494,0.06136085456875218,6.323152899309852,16.893385482699273,25.37321021687956,1.2473173363897647,2.337977346490995,0.0006159698119299377,1.1026486629844449e-05,0.0
Comodoro Rivadavia,Comodoro Rivadavia,Chubut,199369,-45.8632024,-67.4752615,1464.2903423012438,0.5246273583872785,0.1616282581811497,0.018604934550371464,3.6369499352552697,12.005662249427202,20.687181344139116,5.075926391863386,9.632352219391402,0.4200982775829857,0.1322123315955374,0.014463975146543673
Gran Río Cuarto,Río Cuarto,Córdoba,189960,-33.1237585,-64.3489782,571.3179744652892,2.1337587630809565,0.18394911958165722,0.1295609174409551,6.287940467393418,16.451185158192462,25.20453656297299,2.4850435687443624,4.872455753238591,0.023947319922430165,0.00036153319962277684,0.0
Concordia,Concordia,Entre Ríos,175683,-31.3401914,-58.0263642,365.49435079893664,3.6660883105730018,0.1999104834610449,0.17355808253346428,8.876977385967537,19.39670908918374,27.503462731710567,3.1536046744312314,5.639666045200034,0.05880950109701421,0.000708933582165388,0.0
Gran San Nicolás de los Arroyos,San Nicolás de los Arroyos,Buenos Aires,160350,-33.3277089,-60.2165909,217.87369666620674,2.81337622045328,0.1862008077605807,0.14983187566007794,8.265249237003742,18.27139883285361,27.055794830653515,2.7712459417309794,4.919081201629941,0.025152402584356526,0.00020388051427357057,0.0
